id,name,quantity,price,category,image,aiHint,ingredients
55,"Fruit Punch: Mango, Ananas, Maracuja, Orange, Grapefruit, Limette",,"0,401
7,50 €",Main Courses,,,Mango;Ananas;Maracuja;Orange;Grapefruit;Limette
56,"Jamaica Kiss: Kokos, Himbeere, Sahne, Ananas, Maracuja, Grenadine",,"0,401 7,50 €",Beverages,,,Kokos;Himbeere;Sahne;Ananas;Maracuja;Grenadine
57,"Limonade: frische Limetten Stücke, Rohrzucker, Soda",,"0,401 7,50 €",Beverages,,,frische Limetten Stücke;Rohrzucker;Soda
58,Mangolikör,,"(2 cl)
3,50 €",Main Courses,,,
59,Kokosnuss-Schnaps,,"(2 cl)
3,50 €",Main Courses,,,
60,Indischer Rum,,"(2 cl)
3,50 €",Main Courses,,,
61,Ramazotti,,"(4 cl)
4,00 €",Main Courses,,,
62,Williams Birne,,"(2 cl)
2,50 €",Main Courses,,,
63,Grappa,,"(2 cl)
2,50 €",Main Courses,,,
64,Jägermeister,,"(2 cl)
2,50 €",Main Courses,,,
65,Wodka Lemon,,"(5 cl)
7,00 €",Beverages,,,
66,Gin Tonic,,"(5 cl)
7,00 €",Beverages,,,
67,Jackie Cola,,"(5 cl)
7,00 €",Beverages,,,
68,Indischer Weißwein,,"(0,21)
6,90 €
(0,751)
21,00 €",Main Courses,,,
69,Indischer Rotwein,,"(0,21) 6,90 €
(0,751) 21,00 €",Main Courses,,,
70,Jechtinger Grauburg,,"(0,251)
5,90 €",Main Courses,,,
71,Stettener Heuchelberg Riesling,,"(0,251)
5,90 €",Main Courses,,,
72,Jechtinger Spätburgunder,,"(0,251)
5,90 €",Main Courses,,,
73,Haberschl D. Trollinger mit Lemberger,,"(0,251)
5,90 €",Main Courses,,,
74,Jechtinger Spätburgunder Weißherbst,,"(0,251)
5,90 €",Main Courses,,,
75,Munzinger Attilafelsen Spätburgunder,,"(0,251)
5,90 €",Main Courses,,,
76,Cellier C. Merlot Cabernet,,"(0,251)
5,90 €",Main Courses,,,
77,Cellier C. Syrah Rose,,"(0,251)
5,90 €",Main Courses,,,
78,Cellier Colombes Chard,,"(0,251)
5,90 €",Main Courses,,,
79,Castelnuovo Pinot Grigio,,"(0,251)
5,90 €",Main Courses,,,
80,Zonin Merlot Le Anfore,,"(0,251)
5,90 €",Main Courses,,,
81,Zonin Montepulc LeAnfore,,"(0,251)
5,90 €",Main Courses,,,
82,Rotweinschorle / Weißweinschorle,,"(0,251)
4,90 €",Main Courses,,,
83,Alkoholfreier Wein,,"(0,251)
4,90 €",Main Courses,,,
84,Alkoholfreier Sekt,,"(0,251) 4,90 €",Main Courses,,,
85,Chicken Curry,,"10,00 €",Main Courses,,,
86,Chicken Korma,,"10,00 €",Main Courses,,,
87,Chicken Palak,,"10,00 €",Main Courses,,,
88,Chicken Mango,,"10,00 €",Main Courses,,,
89,Chicken Banana,,"10,00 €",Main Courses,,,
90,Chicken Vindaloo,,"10,00 €",Main Courses,,,
91,Lamm Curry:,,"11,00 €",Main Courses,,,
92,Lamm Korma:,,"11,00 €",Main Courses,,,
93,Lamm Madras:,,"11,00 €",Main Courses,,,
94,Lamm Tikka Masala:,,"11,00 €",Main Courses,,,
95,Fish Curry:,,"10,50 €",Main Courses,,,
96,Fish Mango:,,"10,50 €",Main Courses,,,
97,Fish Masala:,,"10,50 €",Main Courses,,,
98,Fish Goa:}},,"10,50 €",Main Courses,,,
99,Gemüse Curry:,,"10,00 €",Main Courses,,,
100,Dal Channa:,,"10,00 €",Main Courses,,,
101,Tarka Dal:,,"10,00 €",Main Courses,,,
102,Chana Masala:,,"10,00 €",Main Courses,,,
103,Vegetable Korma:,,"10,00 €",Main Courses,,,
104,Vegetable Biryani:,,"11,00 €",Main Courses,,,
105,Chicken Biryani:,,"11,00 €",Main Courses,,,
106,Lamm Biryani:,,"11,00 €",Main Courses,,,
