Sr. No.,Barcode,Brand,Product Name,Weight,Category,Retail Price,Photograhy,Shopify,Product Picture in Shopify,Categorization
239,4260616120400,Suntat,Gefullte rote Paprika mit Reis,400g,Tin Foods,2.49,Done,Done,Done,
240,4260616120158,Chtoura Garden,Chickpea Dip ,850g,Tin Foods,2.49,Done,Done,,
241,4260616120189,Chtoura Garden,Cooked Broad Beans in Brine ,400g,Tin Foods,0.99,Done,Done,,
242,4260616120196,Chtoura Garden,Chickpea Dip Hummus Tahina,430g,Tin Foods,1.29,Done,Done,,
243,5201051002141,Chtoura Garden,Favabohnen mit Kreuzkuemmel,400g,Tin Foods,0.99,Done,Done,,
244,5201051003186,Chtoura Garden,Chickpea Dip Hummus Tahina,420g,Tin Foods,1.99,Done,Done,,
245,5201051002059,Chtoura Garden,Chickpea Dip Hummus Tahina Extra Chilli,420g,Tin Foods,1.99,Done,Done,,
246,5201051001069,DellKatessa,Wachtelbohnen Gekocht Borlotti Beans,400g,Tin Foods,0.99,Done,Done,,
247,5201051002219,DellKatessa,Rote Kidney Bohnen gekocht,400g,Tin Foods,0.99,Done,Done,,
248,8691573017193,DellKatessa,Wachtelbohnen Gekocht White Beans,400g,Tin Foods,0.99,Done,Done,,
249,8691573021190,DellKatessa,Rote Kidney Bohnen gekocht,800g,Tin Foods,1.79,Done,Done,,
250,8690508301215,Zanane,Stewed Baby Onions in Tomato Sauce,280g,Tin Foods,3.99,Done,Done,,
251,8690508302311,Zanane,MeatBalls in Tomato Sauce,280g,Tin Foods,3.49,Done,Done,,
252,631583101015,Zanane,Okra in Tomato Sauce,280g,Tin Foods,2.99,Done,Done,,
253,617950169246,Zanane,Vine leaves in stuffed Rice,200g,Tin Foods,2.99,Done,Done,,
254,4012625533562,Zanane,Giant Beans in Tomati Sauce,280g,Tin Foods,2.99,Done,Done,,
255,8690635063062,Burcu,Barbunya pilaki,400g,Tin Foods,1.99,Done,Done,,
256,8690559010630,Burcu,Patlican Dolma,400g,Tin Foods,1.99,Done,Done,,
257,8690559015161,Tukas,Barbunya pilaki,200g,Tin Foods,0.99,Done,Done,,
258,8690559007302,Tukas,Fasulye Pilaki,400g,Tin Foods,1.99,Done,Done,,
259,4260467598144,Aseel,Butter Flavored Vegetable Fat,500g,Tin Foods,4.49,Done,Done,,
260,3838975566538,Alalali,Fancy Stuffed Vine Leaves,400g,Tin Foods,2.29,Done,Done,Done,
261,3838471019057,Marmara,Ton Baligi,160g,Tin Foods,1.99,Done,Done,,
262,3838975566514,Tat,Boiled Borlotti Beans,800g,Tin Foods,1.79,Done,Done,Done,
263,3838471045841,Dardanel,Tuna in Vegetable Oil,160g,Tin Foods,2.49,Done,Done,,
264,3838975566507,Dardanel,Tuna in Sunflower Oil,150g,Tin Foods,2.49,Done,Done,,
265,8695820012108,Dardanel,Sardalya Acili,105g,Tin Foods,2.49,Done,Done,,
266,7613034035097,Yoren ,Rote Bohnen in Tomato Sauce,400g,Tin Foods,1.99,Done,Done,,
267,7613037084566,Argeta,Huhner leber,95g,Tin Foods,1.39,Done,Done,Done,
268,5201219046154,Argeta,SuperTuna Frei von,95g,Tin Foods,1.39,Done,Done,Done,
269,9120018535903,Argeta,Orginal huhn,95g,Tin Foods,1.39,Done,Done,Done,
270,5310043000284,Argeta,Huhn mit Ajvar,95g,Tin Foods,1.39,Done,Done,Done,
271,3838471034456,Argeta,Halal Huhn Harissa,95g,Tin Foods,1.39,Done,Done,Done,
272,3838471035729,Sekeroglu,Sutlu Salep Flavored Instant Drink,250g,Drinks & Beverages,2.99,Done,Done,,
273,9120018537662,Nestle,Nesquik,250g,Drinks & Beverages,2.99,Done,Done,,
274,9120018537648,Nestle,Nesquik Milch,400g,Drinks & Beverages,3.99,Done,Done,,
275,3858890873023,Nescafe,Instant Coffee,200g,Drinks & Beverages,7.99,Done,Done,,
276,3858890872996,Prilepska,Gazoza,1.5L,Drinks & Beverages,1.99,Done,Done,,
277,3858890871784,Prilepska,Gazoza,0.5L,Drinks & Beverages,0.89,Done,Done,,
278,5201193100019,Cockta,Finnest Herbal Extract,1.5L,Drinks & Beverages,1.99,Done,Done,,
279,5201193106189,Cockta,Finnest Herbal Extract,0.5L,Drinks & Beverages,0.89,Done,Done,,
280,5201193106097,Strumka,Strumka Birnengeschmack,1.5L,Drinks & Beverages,2.99,Done,Done,,
281,5201193106011,Strumka,Strumka Birnengeschmack,0.5L,Drinks & Beverages,1.59,Done,Done,,
282,8711327414921,Jana,Ice Tea Pfirsich,1.5L,Drinks & Beverages,1.99,Done,Done,,
283,8714100697368,Jana,Ice Tea Pfirsich,0.5L,Drinks & Beverages,0.99,Done,Done,,
284,8690804323010,Jana,Ice Tea Waldfrucht Preselbeere,0.5L,Drinks & Beverages,0.99,Done,Done,,
285,8690804323003,Melissa,Spaghetti No.6,500g,Noodles & Pasta,1.59,Done,Done,,
286,8680656007824,Melissa,Pasta / Penne,500g,Noodles & Pasta,1.29,Done,Done,Done,
287,8680656007794,Melissa,Ditali,500g,Noodles & Pasta,1.29,Done,Done,,
288,5201399011294,Melissa,Orzo,500g,Noodles & Pasta,1.29,Done,Done,,
289,5201399011195,Knor,Brokkoli Kase Sauce Cup Pasta,62g,Noodles & Pasta,1.49,Done,Done,,
290,5201399011317,Knor,Tomaten Sauce Cup Pasta,69g,Noodles & Pasta,1.49,Done,Done,,
291,8681506260178,Suntat,Turkish Pasta Yaprak,400g,Noodles & Pasta,1.99,Done,Done,,
292,8681506260161,Suntat,Turkish Pasta Cubuk,400g,Noodles & Pasta,1.99,Done,Done,,
293,6217000144083,Son Osmanli,Manti Baked Ravioli,400g,Noodles & Pasta,1.79,Done,Done,Done,
294,617241003488,Son Osmanli,KemalPasa Tatlisi,130g,Noodles & Pasta,1.99,Done,Done,,
295,8692639250011,3Alafa,Large Lentins,500g,Lentins,2.29,Done,Done,,
296,8690804321207,3Alafa,Large Beans,500g,Lentins,2.29,Done,Done,,
297,8690804025242,3Alafa,Large Chickpeas,500g,Lentins,1.99,Done,Done,,
298,8690804372599,Baladna,Zaater with Sumac,500g,Lentins,2.99,Done,Done,,
299,8690804314339,Baladna,Green Zaatar,500g,Lentins,2.99,Done,Done,,
300,8690804361005,Pipore,Yebra Mate Elaborda Con palo,250g,Lentins,2.49,Done,Done,,
301,8691440710578,Kasih,Hummus Tahlnl,135g,Lentins,1.29,Done,Done,,
302,8691440710301,Erdinc,Misir Unu Corn Flour,150g,Lentins,2.29,Done,Done,,
303,4260336840107,Suntat,Reis,5kg,Rice,10.99,Done,Done,,
304,8018416025007,Suntat,Reis Parboiled,5kg,Rice,11.99,Done,Done,,
305,8606108762677,Suntat,Reis Pirinc,5kg,Rice,11.99,Done,Done,,
306,8606108762684,Suntat,Reis Basmati Pirinc,5kg,Rice,15.99,Done,Done,Done,
307,8690804361142,Suntat,Sella Basmati,5kg,Rice,15.99,Done,Done,,
308,8690804367793,Duru,Osmanicik Pirinc,1kg,Rice,3.99,Done,Done,,
309,8690804361012,Duru,Baldo Pirinc,1kg,Rice,4.99,Done,Done,,
310,8690804361326,Doruk,Tosya Pirinc Riz long Blanc,1kg,Rice,3.99,Done,Done,,
311,8690804349850,GoldKorn ,Pirinc Reis,2.5kg,Rice,7.49,Done,Done,,
312,8690804367809,Yumis,Ekocin,450g,Spices,10,Done,Done,Done,Done
313,8690771120506,Yumis,Ekocin,900g,Spices,17.99,Done,Done,Done,Done
314,8690771130147,Suntat ,Pfefferkorner (Black Pepper),80g,Spices,,Done,Done,Done,Done
315,8690771130123,Suntat ,Kristallines Speisesalz Fein,500g,Spices,,Done,Done,Done,Done
316,8690771130109,Suntat ,Himalaya Salz,200g,Spices,,Done,Done,Done,Done
317,5201050118812,Suntat ,Himalaya Salz Fein,1000g,Spices,,Done,Done,Done,Done
318,8690603167662,Suntat ,Himalaya Salz,1000g,Spices,,Done,Done,Done,Done
319,8690504643548,Suntat ,Himalaya Salz,500g,Spices,,Done,Done,Done,Done
320,8691440710363,Billur Tuz,Non Iodized Table Salt,250g,2,,Done,Done,,
321,4260616122046,Billur Tuz,Non Iodized Table Salt,500g,Spices,,Done,Done,,
322,8691440710448,Billur Tuz,Iodized Table Salt,125g,Spices,,Done,Done,Done,Done
323,8691440710639,Billur Tuz,Iodized Table Salt,500g,Spices,,Done,Done,Done,Done
324,8691440710622,Kalas Golden,Iodized Table Salt,250g,Spices,,Done,Done,,
325,4012625434272,Cihan Tuz,Iyotsuz Sofra Tuzu,200g,Spices,,Done,Done,Done,Done
326,8691440306139,Bizim,Risi Arpa Sehriye (Rice),500g,Rice,12.99,Done,Done,,
327,8691440306207,Duru,Yerli Yesil Mercimek (Green Lentils),1000g,Lentils,3.89,Done,Done,,
328,8691440710394,Delikatessa,Kichererbsen (Chickpeas),800g,Lentils,3.39,Done,Done,Done,
329,8691440710431,Duru,Nohut (Chickpeas),1000g,Lentils,3.99,Done,Done,,
330,4012625434012,Duru,Kirgiz Fasulye (White Beans) 8mm,1000g,Lentils,3.49,Done,Done,,
331,8690504643678,Duru,Kirgiz Fasulye (White Beans) 9mm,1000g,Lentils,3.49,Done,Done,,
332,8697412870097,Marmara,Domatesli Bulgur ,1000g,Lentils,2.49,Done,Done,,
333,4012625431615,Duru,Yuksek Oranda Lif Ve Protein Icerir,1000g,Lentils,2.99,Done,Done,,
334,8691440305132,Duru,Fava Beans,1000g,Lentils,12.99,Done,Done,,
335,8691440301004,Duru,Kirgiz Fasulye (White Beans) 7mm,1000g,Lentils,5.99,Done,Done,,
336,8691440710172,Duru,Nohut (Chickpeas) 9mm,1000g,Lentils,3.99,Done,Done,,
337,4012625434210,Marmara,Sise Bulgur (Bulgur Wheat),1000g,Wheat,2.99,Done,Done,,
338,8690804338359,Bizim,Couscous Kuskus,500g,Wheat,2.29,Done,Done,,
339,8691440710455,Ahinur,Koy Tipi Pilavlik Bulgur,1000g,Wheat,2.49,Done,Done,,
340,8690804204210,Marmara,Esmer Kalin Bulgur,1000g,Wheat,2.99,Done,Done,,
341,8690804204180,Duru,Kepekli Pilavlik Bulgur,1000g,Wheat,2.99,Done,Done,,
342,8690804204104,Duru,Kftelik Ince Bulgur,1000g,Wheat,2.99,Done,Done,,
343,8690516004009,Duru,Midyat Bulgur,1000g,Wheat,2.49,Done,Done,,
344,8690504643388,Marmara,Sehriyeli Bulgur Vermicelles,1000g,Wheat,2.49,Done,Done,,
345,8690516003583,Suntat ,Fadennudeln Gerostet,500g,Wheat,1.99,Done,Done,,
346,8690576029226,Duru,Pop Corn Puffmais,1000g,Wheat,2.99,Done,Done,,
347,8690576029417,Suntat ,74-Bamya,500g,Noodles & Pasta,1.49,Done,Done,,
348,8690576029257,Suntat ,63- Uzun Tirtil,500g,Noodles & Pasta,1.49,Done,Done,,
350,8690576029172,Suntat ,3-Spaghetti ,500g,Noodles & Pasta,0.99,Done,Done,,
351,8690804028595,Piyale ,3-Spaghetti ,500g,Noodles & Pasta,0.99,Done,Done,,
352,8690579991346,Bizim,Fusilli Burgu ,500g,Noodles & Pasta,0.99,Done,Done,,
353,8690579926461,Piyale ,Fusilli Burgu ,500g,Noodles & Pasta,0.99,Done,Done,,
354,8690579140591,Nuh'un Ankara,Fiyonk Classic,500g,Noodles & Pasta,0.99,Done,Done,,
355,8690579993241,Nuh'un Ankara,Farfalle Classic,500g,Noodles & Pasta,0.99,Done,Done,,
356,8076809523738,Nuh'un Ankara,Manti,500g,Noodles & Pasta,0.99,Done,Done,,
357,8690579140607,Nuh'un Ankara,Yuksuk,500g,Noodles & Pasta,0.99,Done,Done,,
358,8076809539197,Nuh'un Ankara,Burgu,500g,Noodles & Pasta,0.99,Done,Done,,
359,8690579140614,Suntat ,Lazanya Lasagne,500g,Wheat,2.99,Done,Done,Done,Done 
360,8690579140584,Barilla ,Risoni,500g,Wheat,1.79,Done,Done,Done,Done 
361,8690579991117,Barilla ,Pipe Rigate,500g,Noodles & Pasta,3.35,Done,Done,Done,Done 
362,5319990429537,Barilla ,Fusilli,500g,Noodles & Pasta,1.99,Done,Done,Done,Done 
363,8690804000195,Barilla ,Tortiglioni ,500g,Noodles & Pasta,1.99,Done,Done,Done,Done 
364,8690804000188,Barilla ,Collezione,500g,Noodles & Pasta,2.29,Done,Done,Done,Done 
365,3870009000014,Barilla ,Conchiglie Rigate,500g,Noodles & Pasta,1.79,Done,Done,Done,Done 
366,8690637723520,Barilla ,Farfalle Tonde,500g,Noodles & Pasta,2.19,Done,Done,Done,Done 
367,8690637723506,Barilla ,Penne Rigate,500g,Noodles & Pasta,1.69,Done,Done,Done,Done 
368,8690504644866,Barilla ,Gnocchetti,500g,Noodles & Pasta,2,Done,Done,Done,Done 
369,8690504644880,Barilla ,Spaghetti No.5,500g,Noodles & Pasta,2.59,Done,Done,Done,Done 
370,8690504644897,Izvor,Eurozacin Balkan Spices,1000g,Spices,,Done,Done,Done,Done 
371,8690504644859,Suntat ,Jodiertes Meersalz Grob,1000g,Spices,,Done,Done,Done,Done 
372,8690771170013,Suntat ,Jodiertes Meersalz Fein,1000g,Spices,,Done,Done,Done,Done 
373,8690629310394,Solana Tulza,Iodized Salt,1000g,Spices,,Done,Done,Done,Done 
374,3870007064193,Knorr,Et Aromali Bulyon 24 Adet Wurfel,240g,Soup,,Done,Done,,
375,3870007064261,Knorr,Et Aromali Bulyon 12 Adet Wurfel,120g,Soup,,Done,Done,Done,Done
376,3870007064179,Bizim,Muftak Et Aromali Tablet Bulyon 24 Stuck,240g,Soup,,Done,Done,,
377,3870007063431,Bizim,Muftak Tavuk Aromali Tablet Bulyon 12 Stuck,120g,Soup,,Done,Done,,
378,8600101468420,Bizim,Muftak Tavuk Aromali Tablet Bulyon 24 Stuck,240g,Soup,,Done,Done,,
379,8600101468406,Bizim,Muftak Et Aromali Tablet Bulyon 12 Stuck,120g,Soup,,Done,Done,,
380,3850104004964,Billur Tuz ,Deniz Tuzu Sea Salt,500g,Spices,,Done,Done,Done,Done
381,3850104003189,Dr. Oetker,Tursukur,100g,,1.49,Done,Done,Done,Done
