Sr. No.,Barcode,Brand,Product Name,Weight,Category,Retail Price,Photograhy,Shopify,Product Picture in Shopify,Categorization
452,4260157570306,Kahvecioglu,Sweets of Nuts,720g,Sweets,4.99,Done,Done,,
453,8682631804022,Sera,Portakal Receli Oragen,370g,Sweets,3.29,Done,Done,Done,Done
454,8690804372483,Al-Raii,Corned Beef,198g,Preseved Meat,2.99,Done,Done,Done,Done
455,8690804036897,Sevilla,Sour Cheery Jam,400g,Sause,5.19,Done,Done,Done,Not Done
456,8690804036934,Suntat,Nuss-Nougat-Creame,300g,Sweets,3.49,Done,Done,Done,Done
457,4012625465221,Sebahat,Honey Cam Bal,450g,Honey,5.49,Done,Done,Done,Done
458,8698529300477,Buram,Cam Bali,300g,Honey,4.42,Done,Done,Done,Done
459,8690100600686,Sera,Erik Receli,370g,Honey,2.39,Done,Done,Done,Done
460,8698529301436,Suntat,Flower Honey,300g,Honey,2.99,Done,Done,Done,Done
461,4260157572171,Buram,Akasya Bali,300g,Honey,4.42,Done,Done,Done,Done
462,4260157572225,Ciloglu,Nut Mix in Blossom Honey,400g,Honey,3.99,Done,Done,Done,Done
463,8690777401432,Suntat,Milch-Schoko-Cream,300g,Sweets,1.59,Done,Done,Done,Done
464,4260157579057,Suntat,Helva mit Vanillegeschmack,350g,Sweets,2.99,Done,Done,Done,Done
465,8698529300682,Suntat,Helva mit Pistazien,350g,Sweets,4.59,Done,Done,Done,Done
466,8699924363135,Harika,Helva mit Pistazien,350g,Sweets,4.19,Done,Done,,
467,3850104055706,Seyidoglu,Blackberry Jam,700g,Sauce,5.99,Done,Done,,
468,4017979004003,Cebel,Cocoa Hazelnut Cream,700g,Sweets,5.99,Done,Done,Done,Done
469,5203937004003,Seyidoglu,Sesame Paste,300g,Sause,3.99,Done,Done,Done,Done
470,4260193510410,Buram,Akasya Bali,500g,Honey,7.89,Done,Done,Done ,Not Done
471,4260157575929,Buram,Cam Bali,500g,Honey,7.59,Done,Done,,
472,4260157574953,Sera,Ayva Receli,370g,Honey,5.5,Done,Done,Done,Done
473,8699924361391,Buram,Cicek Bali,630g,Honey,5.5,Done,Done,Done,Done
474,4260157570146,Seyidoglu,Sesame Paste,500g,Sauce,4.99,Done,Done,Done,Done
475,4040328081103,Rasitoglu,Sesame Paste ,300g,Sauce,5.9,Done,Done,Done,Done
476,4260157571020,Podravka,Pileci Narezak,150g,Preseved Meat,2.29,Done,Done,,
477,5411944363925,Egeturk,Rinds-Wurstachen,250g,Sauce,3.69,Done,Done,,
478,8690777401418,Orino,Flower Honey,400g,Honey,3.99,Done,Done,Done,Done
479,8690804372384,Destan,Syrup with Comb Honey,485g,Honey,26.99,Done,Done,Done,Done
480,4260505993085,Buram,Chopped Nuts in Syrup,420g,Sweets,10.99,Done,Done,Done,Done
481,4012625466310,Buram,Nuts in Syrup,420g,Sweets,14.99,Done,Done,Done,Done
482,4260193510434,Rasitoglu,Natural Black Cumin Seed Oil,50ml,Oil,2.99,Done,Done,Done,Done
483,8690777400756,Buram,Cicek Bali - Blossom Honey,300g,Honey,,Done,Done,,
484,4260193511332,Suntat,Rindfleischwurst,150g,Preseved Meat,,Done,Done,,
485,8690603167679,Buram,Honey with Black Cumin Seeds,450g,Honey,23.99,Done,Done,Done,Done
486,8607100510433,Sebahat,Pekmez Trauben-Sirup,380g,Sauce,4.29,Done,Done,Done,Done
487,8690771130741,Sera,Black Berry Jam,370g,Sauce,3.99,Done,Done,Done,Done
488,40056265,Suntat,Figs Jam,360g,Sauce,,Done,Done,Done,Done
489,8691375642951,Bosna,Govedi Narezak,200g,Preseved Meat,,Done,Done,,
490,8607100570222,Harika,Roze Jam,380g,Sauce,,Done,Done,Done,Done
491,8600101468871,Destan,Syrup with Honey,485g,Honey,29.99,Done,Done,Done,Done
492,4260505993696,Sera,Gul Receli Rose Jam,370g ,Sauce,,Done,Done,Done,Done
493,8690771120209,Ozyorem,Beef Sausages in Brine ,550g,Sauce,,Done,Done,Done,Done
494,5319990429216,Selkur,Cihan Tuz- Iyotlu Sofra Tuzu,500g,Spices,,Done,Done,Done,Done
495,5319990429698,Zacinc,Mixed Seasoning,500g,Spices,3.99,Done,Done,Done,Done
496,8690804372421,Marmara,Crystal Pink Salt,500g,Spices,,Done,Done,,
497,8690777401333,Thomy,Les Sauses Hollandaise,250g,Sauce,1.59,Done,Done,Done,Done
498,8690804372346,Ajinomoto,Lezzet Tuzu,500g,Spices,2.29,Done,Done,,
499,8690804372445,Zacinc,Mixed Seasoning,1000g,Spices,,Done,Done,Done,Done
500,8690804372360,Yumis,Food Seasoning Mixture,1000g,Spices,,Done,Done,Done,Done
501,8690771130734,Bosna,Vegonatur Condimento,250g,Spices,,Done,Done,Done,Done
502,5201049211555,Marmara,Billur Tuz,750g,Spices,,Done,Done,,
503,3856020214937,Izvor,Seasoning Mixed with Vegetables,450g,Spices,,Done,Done,Done,Done
504,4017979019007,Knor,Gartenkrauter mit Knoblauch,90ml,Spices,1.59,Done,Done,,
505,8698529301443,Izvor,Seasoning Mixed with Vegetables,400g,Spices,,Done,Done,Done,Done
506,8698529309524,Suntat,Rose Leaves in Syrup,360g,Sauce,,Done,Done,,
507,4050164005249,Sera,Fig Jam,370g,Sauce,4.99,Done,Done,,
508,4017979017003,Suntat,SourCheery Jam,360g,Sauce,2.49,Done,Done,,
509,4251871700193,Suntat,Quince Jam,360g,Sauce,2.49,Done,Done,,
510,4050164005263,Suntat,Strawberry Jam,360g,Sauce,2.49,Done,Done,,
511,8690804190810,Billu Tuz,Crystal Pink Salt,500g,Spices,14.99,Done,Done,,
512,4260157570887,Seyidoglu,Blackberry Jam,380g,Sauce,3.99,Done,Done,,
513,8698529301023,Macedonian,Tahini with Cocoa,350g,Sweets,3.99,Done,Done,,
514,4040328070633,Podravka,Rinderfruhstucksflesich mit Sojaeiwiess,200g,Preseved Meat,2.99,Done,Done,,
515,4038407039527,Egeturk,Babacan Sosis (10 Beef Sausages with milk protien),1500g,Sauce,,Done,Done,,
516,3850104020452,Seyidoglu,Grape Molasses,400g,Sauce,3.5,Done,Done,,
517,5201049211401,Seyidoglu,Black Mulberry Jam,380g,Sauce,3.49,Done,Done,,
518,8690777400718,Tuna ,6 Beef Sausage,250g,Sauce,4.99,Done,Done,,
519,8690508503213,Egeturk,Boncuk Sosis,400g,Sauce,4.99,Done,Done,,
520,9120018536580,Ozyorem,Hindi Sosis,550g,Sauce,,Done,Done,,
521,4040328074792,Tuna ,Beef Sausages  ,400g,Sauce,5.99,Done,Done,,
522,4038407039725,Ciloglu,Gul Receli Rose Leaves Jam,380g,Sauce,,Done,Done,,
523,4260193510007,Buram,Petekli Bal Honey,500g,Honey,,Done,Done,,
524,3850104020018,Seyidoglu,Orange Jam,380g,Sauce,4.95,Done,Done,,
525,4040328081127,Suntat,Chiccken Salami Snack,70g,Preseved Meat,,Done,Done,,
526,4027394006223,Molla,Acye Mini Salam,50g,Preseved Meat,0.99,Done,Done,,
527,3858886469377,Podravka,Honspastej ,135g,Preseved Meat,,Done,Done,,
528,8690804614538,Macedonian,Mazedonisches Tahini,300g,Sauces,3.2,Done,Done,,
529,8690508509215,Sera,Cilek Receli Erdbeeren,370g,Sauces,1.99,Done,Done,,
530,8690804680601,Tukas,SourCheery Jam,380g,Sauces,2.99,Done,Done,,
531,8690804368141,Brajloric,Rinder Fruhstucksflesisch,200g,Sauces,1.49,Done,Done,,
532,8698529300989,Suntat,Snack Salami,25g,Sauces,,Done,Done,,
533,3850104020087,Molla,Acye Sandvic ,50g,Preseved Meat,1.49,Done,Done,,
534,4040328037476,Ozyorem,Yumurcak Sucuk,30g,Preseved Meat,1.49,Done,Done,,
535,4017979009008,Suntat,Rose Leaves in Syrup,360g,Sauces,,Done,Done,,
536,8691440305583,Podravka,Govedi Gulas,200g,Sauces,2.1,Done,Done,,
537,8690504643555,Suntat,Hahnchenfleuschwurst,150g,Preseved Meat,,Done,Done,,
538,8697530994187,Yayla,Ton Baligi Ezmesi Tuna Spread,95g,Preseved Meat,1.99,Done,Done,,
539,4017979033003,Podravka,Kokosja Pasteta,95g,Preseved Meat,1.99,Done,Done,,
540,3850104031748,Suntat,Blackberry Jam,380g,Sauces,11.99,Done,Done,,
541,8690508502216,Tukas,Blackberry Jam,380g,Sauces,11.99,Done,Done,,
542,8690804682902,Suntat,Strawberry Jam,380g,Sauces,10.99,Done,Done,,
543,8698529300446,Suntat,Helva with Vanilla,40g,Sweets,1.99,Done,Done,,
544,8691440305668,Seyidoglu,Apricot Jam,380g,Sweets,2.19,Done,Done,,
545,4012625465122,Podravka,Govedi Gulas di Manzo,400g,Sauces,3.49,Done,Done,,
546,8691440305637,Simge,Rindfleisch-Streichwurst,125g,Preseved Meat,,Done,Done,,
547,8683417000027,Egeturk,TonTon Rostbrat-Wurst,600g,Preseved Meat,4.99,Done,Done,,
548,8691440305675,Bizim,Risi Arpa Sehriye,500g,Rice,0.89,Done,Done,,
549,8693887003138,Duru,Pilavlik Bulgur Coarse Bulgur,500g,Lentins,1.99,Done,Done,,
550,8698529300156,Bizim,Vermicelli,500g,Lentins,,Done,Done,,
551,8697530994132,Seyidoglu,Fig Jam,380g,Sauces,,Done,Done,Done ,Done
552,8698529300163,Del Katessa,Uzum Pekmezi Traubensirup,380g,Sauces,,Done,Done,,
553,4260157574229,Egeturk,Pinar Sosis 6 Beef Sausages with Milk Proteins,550g,Preseved Meat,4.99,Done,Done,Done,Done
554,8690804000027,Podravka,Putenfruhstucksfleisch mit Putenseparatorenfleisch,150g,Preseved Meat,1.99,Done,Done,,
555,8690504121336,Tukas,Apricot Jam,380g,Sauces,2.19,Done,Done,,
556,5411944363666,Suntat,Sesame Paste,300g,Sauces,,Done,Done,,
557,7622201127206,Seyidoglu,Apricot Jam,700g,Sauces,3.29,Done,Done,,
558,8690550914913,Duru,Popcorn Misir,500g,Lentins,1.99,Done,Done,,
559,4260157572614,Harika,Kokaolu Tahin Helva,350g,Sweets,,Done,Done,,
560,8691440305651,Duru,Chickpeas,500g,Lentins,,Done,Done,,
561,8690777528016,Sarelle,Haselnusscreme mit Kakao,350g,Sweets,2.89,Done,Done,Done,Done
562,8690804000072,Duru,Asurelik Buday,500g,Lentins,,Done,Done,,
563,8693887003169,Gursoy,Haselnuss Milch Creme,400g,Sweets,4.49,Done,Done,Done,Done
564,8691440305644,Seyidoglu,Plain Tahin Halva,600g,Sweets,4.99,Done,Done,Done,Done
565,8698529300149,Kahvecioglu,Sweets of Nuts,720g,Sweets,,Done,Done,Done,Done
566,8698529300170,Del Katessa,Sade Tahin Helva,300g,Sweets,3.99,Done,Done,,
567,8691440305620,Seyidoglu,Tahin Halva with Cocoa,600g,Sweets,3.99,Done,Done,,
568,8699924363159,Suntat,Nuss-Nougat-Creame,300g,Sweets,,Done,Done,,
569,4260157572591,Bee Garden,Syrup with Honey,1000g,Sweets,,Done,Done,,
570,8698529300125,Suntat,Durum Wheats,500g,Lentins,,Done,Done,,
571,8683489400244,Suntat,Giants White Beans,500g,Lentins,,Done,Done,,
572,8698529300132,Ulker,En Tatli Sabahlar Cokokremle baste,400g,Sweets,,Done,Done,,
573,5411944363055,Sebahat,Quince Jam,360g,Sauce,,Done,Done,Done,Done
574,8690804000010,Suntat,Helva mit Pistazien,350g,Sweets,,Done,Done,,
575,4012625465023,Milka,Haselnusscreme ,350g,Sweets,2.99,Done,Done,Done,Done
576,8690804000034,Sarelle,Haselnusscreme mit Kakao und milch,350g,Sweets,10.99,Done,Done,Done,Done
577,8690508508218,Buram,Halva with Cocoa,700g,Sweets,,Done,Done,,
578,8697438560026,Duru,Yesil Mercimek Grune,500g,Lentins,1.19,Done,Done,,
579,4260157578555,Sera,Grape Molasses,400g,Sweets,3.19,Done,Done,Done,Done
580,4260157578234,Suntat,Chickpeas,500g ,Lentins,,Done,Done,,
581,4260746180114,Gursoy,Haselnuss-Milch Creme,400g,Sweets,4.49,Done,Done,,
582,8696313111773,Duru,Kuru Fasulye,500g,Lentins,1.99,Done,Done,,
583,8690804036910,Seyidoglu,Tahin Helsavi with Pistachios,300g,Sweets,2.99,Done,Done,Done,Done
584,4260157577152,Seyidoglu,Tahin Helsavi with Pistachios,600g,Sweets,4.99,Done,Done,Done,Done
585,8690804372506,Duru,Mercimek Round Red Lentins,500g,Lentins,2.19,Done,Done,,
586,5283031101846,Rasitoglu,Tahin SesamPaste,500g,Sauce,,Done,Done,Done,Done
587,4260157570900,Buram,Halva with Vanilla,700g,Sweets,4.99,Done,Done,,
588,4260157572607,Seyidoglu,Plain Tahin Halva,300g,Sweets,2.99,Done,Done,Done,Done
589,4260157578166,Salmanli ,Halwa with Pistachio,350g,Sweets,3.99,Done,Done,,
590,8690804002366,Seyidoglu,Tahin Halva with Cocoa,300g,Sweets,3.19,Done,Done,,
591,8690804368110,Sebahat,Helva with Cocoa,350g,Sweets,3.49,Done,Done,,
592,8690804310409,Suntat,Bulgur Coarsed Durum Wheat,500g,Lentins,,Done,Done,,
593,8690804035999,Harika,Sade Tahin Helva,350g,Sweets,,Done,Done,Done,Not Done
594,8691440710417,Suntat,Green Lentins,500g,Lentins,,Done,Done,,
595,8691440776338,Tukas,Raspberry Jam,380g,Sauce,4.99,Done,Done,Done,Not Done
596,8691440710332,Durmusogullari,Kati Tatli Uzum Pekmezi,700g,,,Done,Done,,
597,8690804035975,Buram,Halva with Cocoa,350g,Sweets,2.99,Done,Done,,
598,8690804035968,Petek Bal,Honey Comb,900g,Honey,26.99,Done,Done,,
599,8697412873166,Kirpetegi,Natural Comb Honey,,Honey,,Done,Done,,
600,4012625431738,Ergul,Pekmez Mix,1500g,Sauce,,Done,Done,,
601,8691837001012,Suntat,Helva mit Kakao,350g,Sweets,,Done,Done,,
602,8425408017436,Buram,Cut Comb in Honey,1250g,Honey,131.99,Done,Done,,
603,4260151110454,Suntat,Nougat Creme mit Nussnougat,300g,Sweets,,Done,Done,Done,Not Done
604,8697415556141,Suntat,Helva mit Vanillegeschmack,350g,Sweets,,Done,Done,,
605,4012625419149,Lara,Syrup Julep,600ml,Sauce,,Done,Done,,
606,8697415556127,Buram,Royal Jelly in Blossom ,500g,Honey,,Done,Done,,
607,4270002838581,Buram,Halva with Pistachio,700g,Sweets,,Done,Done,,
608,8690804026744,Buram,Cickek Bali Blossom Honey,1000g,Honey,,Done,Done,,
609,8690804006586,Suntat,Gida Urunleri Die Vertrauensmarke,500g,Lentins,,Done,Done,Done,
610,8690804367403,Suntat,Helva mit Vanillegeschmack,200g,Sweets,,Done,Done,,
611,8697415556288,Suntat,Bulgur Durum Wheat Fine,5kg,Lentins,,Done,Done,,
612,8690804324086,Suntat,Bulgur Coarsed Durum Wheat,2500g,Lentins,,Done,Done,,
613,98931059631,Duru,Kepekli Pilavlik Bulgur Whole Grain Coarse,1000g,Lentins,2.99,Done,Done,,
614,98931059624,Duru,Fasulye CranBerry Beans,1000g,Lentins,5.99,Done,Done,,
615,8697415556332,Duru,Bulgur Extra Fine,2500g,Lentins,18.99,Done,Done,,
616,8600103056250,Duru,Pelled Wheat,1000g,Lentins,9.99,Done,Done,,
617,22644006354,Duru,White Beans,1000g,Lentins,3.99,Done,Done,,
618,8600101521675,Suntat,Gida Urunleri Die Vertrauensmarke,2500g,Lentins,,Done,Done,Done,Not Done
619,8600101521248,Duru,Green Lentins,1000g,Lentins,2.49,Done,Done,,
620,8600103056519,Suntat,White Beans,2500g,Lentins,,Done,Done,,
621,3904750980070,Ahinur,Bakliyat Yerli Mali,1000g,Lentins,2.69,Done,Done,,
622,4005692000112,Marmara,Bulgur Wheat,5kg,Lentins,7.99,Done,Done,,
623,8690804362286,Hastel,Kadayif Baked Pressure Threads,200g,Sweets,0.89,Done,Done,Done,
624,6212900009050,Casa Mayor,Popcorn,3x90g,Lentins,0.79,Done,Done,Done,
625,8690804362293,Titiz,Ceviz ici Walnut Kernel,170g,Dryfruits,3.99,Done,Done,Done,
626,3870007014235,Lokmas,Turkish Flass Halva Kakaolu,220g,Sweets,2.99,Done,Done,Done,
627,4005692000181,Marmara,Kuru Incir Dried Figs,350g,Dryfruits,3.99,Done,Done,Done,
628,3870007014303,Lokmas,Turkish Flass Halva Antep Fistikli ,220g,Sweets,2.99,Done,Done,Done,
629,4022805191154,Fut Snacks,Getrocknete Aprikosen,200g,Dryfruits,2.39,Done,Done,,
630,3904750980087,Suntat,Sekerli Patmisir Popcorn Microwave,100g,Lentins,1.99,Done,Done,Done,
631,8690504641759,Suntat,Patmisir Popcorn Microwave,100g,Lentins,0.79,Done,Done,Done,
632,8690504649748,Suntat,Sun Dried Apricots,150g,Dryfruits,2.79,Done,Done,Done,
633,8690504641728,Lokmas,Narli Rulo Piemaniye,220g,Sweets,2.99,Done,Done,Done,
634,8690504641735,Suntat,Gold Rosinen,350g,Dryfruits,2.79,Done,Done,Done,
635,8690504649991,Forar,Mixed Pestil Wrap with Hazelnut and Pistachio,380g,Sweets,4.99,Done,Done,Done,
636,8690504641674,Forar,Hazelnut Butter Pastel Wrap ,380g,Sweets,4.99,Done,Done,Done,
637,8690504641650,Lokmas,Chocolate Covered with Turkish Flass Halva,200g,Sweets,2.99,Done,Done,Done,
638,8690504641643,Grand ,Gold Coffee,500g,Coffee,7.99,Done,Done,Done,
639,8690516500105,Cafe Najjar,Pure Brazzilain Brown Coffee,200g,Coffee,6.49,Done,Done,Done,
640,8690516500136,DonCafe,Moment Jatarnja Doza Optimizma,500g,Coffee,7.99,Done,Done,Done,
641,4260616121971,DonCafe,Minas Nase Jutarnje Price,500g,Coffee,7.99,Done,Done,Done,
642,4260616123579,Grand ,Aroma Coffee,500g,Coffee,7.99,Done,Done,Done,
643,4260616122084,NimiTv,PrinceCaffe ,200g,Coffee,3.59,Done,Done,Done,
644,4260616122022,Sottos,Turk Kahvesi,100g,Coffee,2.2,Done,Done,Done,
645,4260616122008,Suntat,Wurfel Zucker Kup Seker,1000g,Sugar,1.49,Done,Done,Done,
646,4260616122015,Shami Cafe,Dark Rosted Coffee Beans,500g,Coffee,10.49,Done,Done,,
647,8691440307587,Suntat,Fein Zukcker Toz Seker Extra White Sugar,1000g,Sugar,1.79,Done,Done,Done,
648,8018416026103,Bosanska Kafa,Blend of Rosted and Ground Coffee,500g,Coffee,7.99,Done,Done,Done,
649,8018416024109,Minas Khava,Staubfein Gemahlen,500g,Coffee,7.99,Done,Done,,
650,8690804321009,Bosanska Kafa,Blend of Rosted and Ground Coffee,200g,Coffee,3.99,Done,Done,Done,
651,4011259008323,Arabella Sweets,White Awafie - Sugar Pieces,500g,Sugar,0.79,Done,Done,Done,
652,8690804314322,Sottos,Turk Kahvesi,100g,Coffee,3.99,Done,Done,Done,
653,8690804361302,Prince Caffe,Caffe` Turca Princ,500g,Coffee,7.99,Done,Done,Done,
654,4260005395181,Bizim,Tarabana Soup,65g,Soup ,0.99,Done,Done,Done,
655,4260005395570,Bizim,Beef Flavored Noodle Soup,65g,Soup ,0.99,Done,Done,Done,
656,4260005390087,Bizim,Turkish Highland Soup with Milk,80g,Soup ,1.99,Done,Done,Done,
657,4260005395495,Bizim,Lentin Soup,65g,Soup ,0.79,Done,Done,Done,
658,8680569000011,Bizim,Balkan Chicken Flavored Noodle Soup,62g,Soup ,0.99,Done,Done,Done,
659,4251032611054,Bizim,Cream of Mushroom Soup,65g,Soup ,1.99,Done,Done,Done,
660,4251032610798,Bizim,Chicken Flavored Noodle Soup,58g,Soup ,1.99,Done,Done,Done,
661,4260005396195,Bizim,Cream of Chicken Soup,62g,Soup ,1.99,Done,Done, c,
662,4251032602113,Piyale,Mantar Soup,65g,Soup ,0.49,Done,Done,Done,
663,4251032605442,Piyale,Iskembe,65g,Soup ,0.49,Done,Done,Done,
664,4251032602311,Del Katessa,Chickpeas ,800g,Lentins,3.49,Done,Done,Done,
665,4251032602298,Del Katessa,Bulgur Fine,800g,Lentins,3.49,Done,Done,Done,
666,4251032603943,Del Katessa,Jerish,1000g,Lentins,2.49,Done,Done,Done,
667,4251032602359,Del Katessa,Yellow Lentins,800g,Lentins,3.79,Done,Done,Done,
668,4251032609051,Del Katessa,Red Lentins,800g,Lentins,2.79,Done,Done,Done,
669,4260005396164,Del Katessa,Black Eye Beans,800g,Lentins,3.29,Done,Done,Done,
670,8680569000219,Del Katessa,Red Kidney Beans,800g,Lentins,3.49,Done,Done,Done,Not Done
671,8002371000353,Duru,Indian Sella Basmati Rice,1000g,Rice,3.99,Done,Done,Done,
672,8002371000674,Tosya,Pirinc - Reis,1000g,Rice,2.99,Done,Done,Done,
673,8002371004061,Tosya,Pirinc - Reis Par Boiled ,1000g,Rice,2.99,Done,Done,Done,
674,8680569000547,Suntat,Reis Pilavlik Pirinc,1000g,Rice,2.49,Done,Done,Done,
675,4251032603844,Mavi,Pirinc Langkorn Reis,1Kg,Rice,3.99,Done,Done,Done,
676,4251032610651,Suntat,Basmati Reis,1000g,Rice,3.49,Done,Done,,
677,8680569000486,Suntat,Sella Basmati Reis ,1000g,Rice,3.99,Done,Done,Done,
678,8680569000158,Omega,Copt Seeds,360g,Dryfruits,2.99,Done,Done,,
679,4251032612921,Omega,Sunflower Seeds Extra Salted,120g,Dryfruits,1,Done,Done,Done,
680,4251032611092,Omega,Saloniki,120g,Dryfruits,1,Done,Done,Done,
681,4251032607354,Omega,Sunflower Seeds Unsalted,120g,Dryfruits,1,Done,Done,Done,
682,8680569000981,Kerem,Sunflower Seeds Salted,200g,Dryfruits,1,Done,Done,,
683,8680569000059,Meray,Sunflower Seeds Roasted and Extra Salted ,250g,Dryfruits,1,Done,Done,Done,
684,4251032602878,Meray,Roasted Corn,300g,Dryfruits,1,Done,Done,Done,
685,8680569000271,Omega,Corn Chilli,150g,Dryfruits,1,Done,Done,Done,
686,4251032601932,Meray,Deluxe Mix Roasted and Salted,150g,Dryfruits,4.39,Done,Done,Done,
687,8680569000356,Meray,Peanut Kernels,150g,Dryfruits,3.49,Done,Done,Done,
688,4251032606579,Meray,Hazelnut Kernels,150g,Dryfruits,3.49,Done,Done,Done,
689,8680569002466,Meray,Pistachios,150g,Dryfruits,5.99,Done,Done,Done,
690,8680569000295,Meray,Nuts Mixture,150g,Dryfruits,3.49,Done,Done,Done,
691,4251032612648,Meray,Cashew Kernels,150g,Dryfruits,2.99,Done,Done,Done,
692,8680569001360,Meray,Almond Kernels,225g,Dryfruits,4.99,Done,Done,,
693,5285004200013,Omega,Corn BBQ,150g,Dryfruits,1,Done,Done,,
694,8680569000073,Kerem,Nuts Enjoyment,250g,Dryfruits,1.79,Done,Done,,
695,8696173142030,Antonelli,Croissants Strawberry,250g,Sweets,1.99,Done,Done,Done,
696,4251032612389,Antonelli,Croissants Pastry Cream,250g,Sweets,1.99,Done,Done,Done,
697,4251032609556,Antonelli,Croissants Chocolate And Milk Cream,250g,Sweets,1.99,Done,Done,Done,
698,4251032601871,Kerem,Nuts Enjoyment,200g,Dryfruits,1.49,Done,Done,,
699,4251032610637,Meray,Pumpkin Seeds,400g,Dryfruits,3.49,Done,Done,Done,
700,8696173142078,Meray,Roasted Corn,150g,Dryfruits,1.49,Done,Done,Done,
701,8683489400152,Kerem,Raisins Natural,250g,Dryfruits,1.79,Done,Done,,
702,8696173142627,Kerem,Pumpkin Seeds,200g,Dryfruits,1.79,Done,Done,,
703,8683489400633,Rafik,Walmusskerene,350g,Dryfruits,4.99,Done,Done,Done,
704,4251032609655,Meray,Sunflower Seeds,300g,Dryfruits,2.19,Done,Done,,
705,4251032607255,Kerem,Hazelnut Kernels,200g,Dryfruits,3.29,Done,Done,,
706,8683489400084,Kerem,Nuts Enjoyment,250g,Dryfruits,1.79,Done,Done,,
707,4251032605985,Kerem,Gelbe Kichererbsen,250g,Dryfruits,1.79,Done,Done,,
708,4251032607279,Meray,Pumpkin Seeds,200g,Dryfruits,1.99,Done,Done,Done,
709,4251032609433,Kerem,Nuts Enjoyment,250g,Dryfruits,2.29,Done,Done,,
710,4251032607217,Meray,Pumpkin Seeds,200g,Dryfruits,2.29,Done,Done,,
711,8680569000196,Kerem,Nuts Enjoyment,250g,Dryfruits,2.29,Done,Done,,
712,4251032609570,Kerem,Walnut Kernels,200g,Dryfruits,2.99,Done,Done,,
713,4251032609457,Kerem,Nuts Enjoyment,200g,Dryfruits,1.99,Done,Done,Done,
714,8696173150035,Kerem,Kichererbsen,250g,Dryfruits,1.79,Done,Done,,
715,8696173142221,Kerem,Nuts Enjoyment,250g,Dryfruits,1.49,Done,Done,,
716,8696173142566,Rafik,Sunflower Seeds ,150g,Dryfruits,1,Done,Done,Done,
717,4260616121391,Kerem,Gerostet & Gesalzen,250g,Dryfruits,1.49,Done,Done,,
718,4251032609532,Al-Samir ,Pumpkin Seeds Roasted and Salted,300g,Dryfruits,3.29,Done,Done,Done,
719,8696173142436,Kerem,Nuts Enjoyment,250g,Dryfruits,1.79,Done,Done,,
720,8696173142580,Kerem,Nuts Enjoyment,250g,Dryfruits,2.29,Done,Done,,
721,8696173142801,Mercan,Mixed Dryfruits,200g,Dryfruits,1.49,Done,Done,,
722,8696173142597,Kerem,Peanut Kernels,200g,Dryfruits,1.99,Done,Done,,
723,4251032609631,Kerem,Gezalsen,200g,Dryfruits,1.49,Done,Done,,
724,8696173142047,Meray,Hazelnut Kernels,300g,Dryfruits,4.99,Done,Done,Done,
725,8696173142054,Meray,Pumpkin Seeds,200g,Dryfruits,1.99,Done,Done,Done,
726,8690504501091,Meray,Roasted Corn,150g,Dryfruits,1.49,Done,Done,,
727,8699025780060,Salmanli ,Kuruyemiste,250g,Dryfruits,1.99,Done,Done,Done,
728,8690690173058,Salmanli ,Karisik,375g,Dryfruits,4.99,Done,Done,Done,
729,8697448890076,Salmanli ,Silberbeere ,150g,Dryfruits,1.49,Done,Done,,
730,8697520525537,Salmanli ,Almonds,250g,Dryfruits,4.99,Done,Done,Done,
731,8697520518614,Meray,Nut Mixture,300g,Dryfruits,5.99,Done,Done,Done,
732,8698980921808,Meray,White Chickpeas,250g,Dryfruits,1.99,Done,Done,Done,
733,8690723631890,Kerem,Nuts Enjoyment,250g,Dryfruits,1.79,Done,Done,,
734,8690723711899,Salmanli ,Igde,250g,Dryfruits,1.99,Done,Done,,
735,8690804367731,Meray,Pumpkin Seeds,400g,Dryfruits,4.49,Done,Done,,
736,8801056015442,Meray,Almond Kernels,225g,Dryfruits,3.49,Done,Done,,
737,8697520511332,Meray,Yellow Chickpeas,250g,Dryfruits,1.99,Done,Done,Done,
738,8692813005062,Meray,Golden Raisins,250g,Dryfruits,3.49,Done,Done,Done,
739,8801056084028,Meray,Hazelnut Kernels,225g,Dryfruits,3.99,Done,Done,Done,
740,9120059360403,Meray,Nuts Mixture,300g,Dryfruits,6.49,Done,Done,Done,
741,4260011790147,Kerem,Nuts Enjoyment,250g,Dryfruits,1.79,Done,Done,,
742,4260243040522,Mercan,Karisk Cerez,200g,Dryfruits,1.49,Done,Done,,
743,8690804358753,Mercan,Almond Kernels,300g,Dryfruits,6.49,Done,Done,,
744,8690804031113,Meray,Golden Raisins,250g,Dryfruits,3.49,Done,Done,Done,
745,8690533021355,Mercan,Kebak Cekirdegi Tuzsuz Urgup,160g,Dryfruits,1.79,Done,Done,,
746,8690526060293,Salmanli ,Salmanli Kavrulmus Findik Ici,200g,Dryfruits,2.99,Done,Done,,
747,8690504103394,Salmanli ,Lux Karisik,225g,Dryfruits,2.99,Done,Done,,
748,8690526661100,Del Katessa,Naturlich & Frisch,200g,Dryfruits,1.79,Done,Done,,
749,8690504033868,Meray,Pistachios,300g,Dryfruits,8.49,Done,Done,Done,
750,8690526004525,Salmanli ,Kabak Cekirdegi ,300g,Dryfruits,3.99,Done,Done,,
751,8690526070124,Salmanli ,Gelbe Kichererbsen,250g,Dryfruits,1.99,Done,Done,,
